ID,StateID,Callsign,Use,Status,SquelchTone,DigitalTone,VOIP,Location.Latitude,Location.Longitude,Location.County,Location.State,Location.Local,Frequency.Input,Frequency.Output,Digital.P25,Digital.DStar,Digital.YSF,Digital.DMR.ColorCode,Digital.DMR.ID,Digital,SquelchTone.Input,SquelchTone.Output,VOIP.AllStar,VOIP.Wires,VOIP.EchoLink.NodeID,VOIP.IRLP.NodeID,VOIP.EchoLink,VOIP.IRLP,VOIP.AllStar.NodeID,Digital.DMR,VOIP.Wires.ID,Digital.YSF.GroupID.Input,Digital.YSF.GroupID.Output,Digital.DStar.Node,Digital.P25.NAC,DigitalTone.Input,DigitalTone.Output
5853,8,W0UPS,Open,On-Air,,,,40.61109924,-105.3239975,Larimer,CO,"Fort Collins, Buckhorn Mountain",442.7,447.7,,,,,,,100,100,,,,,,,,,,,,,,,
8740,8,N0XLF,Open,On-Air,,,,39.13600159,-104.92700195,Douglas,CO,"Palmer Lake, Monument Hill",144.59,145.19,,,,,,,131.8,131.8,,,10079,,,,,,,,,,,,
60,8,N0OWY,Open,On-Air,,,,39.4703,-105.198,Jefferson,CO,"Conifer, Critchell Mountain",442.5,447.5,,,,,,,88.5,88.5,,,,,,,,,,,,,,,
18418,8,N0SZ,Open,On-Air,,,,40.61700058,-105.32700348,Larimer,CO,"Fort Collins, Buckhorn Mountain",440.2,445.2,,,,7,,,,,,,,,,,,,,,,,,,
246,8,W0UPS,Open,On-Air,,,,40.61700058,-105.32700348,Larimer,CO,"Fort Collins, Buckhorn Mountain",146.025,146.625,,,,,,,100,100,,,,,,,,,,,,,,,
3660,8,W0UPS,Open,Off-Air,,,,40.61700058,-105.32700348,Larimer,CO,"Fort Collins, Buckhorn Mountain",223.24,224.84,,,,,,,100,100,,,,,,,,,,,,,,,
18424,8,KI0HC,Open,On-Air,,,,40.61669922,-105.32800293,Larimer,CO,"Fort Collins, Buckhorn Mountain",902.025,927.875,,,,,,,,,,,,,,,,,,,,,293,,
13368,8,W0JZ,Open,On-Air,,,,40.0633,-105.41,Boulder,CO,Gold Hill,147.51,146.91,,,,,,,123,127.3,,,,,,,,,,,,,,,
112,8,W0TX,Open,On-Air,,,,39.7525,-105.358,Jefferson,CO,"Golden, Centennial Cone",443.625,448.625,,,,,,,100,100,,,,,,,,,,,,,,,
82,8,K0FEZ,Open,On-Air,,,,39.7525,-105.359,Denver,CO,"Golden, Centennial Cone",146.385,146.985,,,,,,,100,100,,,,3346,,,,,,,,,,,
140,8,KE0SJ,Open,On-Air,,,,39.7525,-105.359,Jefferson,CO,"Golden, Centennial Cone",144.68,145.28,,,,,,,100,,,,,,,,,,,,,,,,
138,8,KE0SJ,Open,On-Air,,,,39.75249863,-105.35900116,Jefferson,CO,"Golden, Centennial Cone",444.525,449.525,,,,,,,,,,,,,,,,,,,,,,,
77,8,WB0TUB,Open,On-Air,,,,39.7525,-105.359,Jefferson,CO,"Golden, Centennial Cone",146.04,146.64,,,,,,,100,,,,,,,,,,,,,,,,
9702,8,KI0HC,Open,On-Air,,,,39.7658,-105.366,Jefferson,CO,"Golden, Centennial Cone",902.025,927.8375,,,,,,,,,,,,,,,45770,,,,,,293,,
7165,8,W0TX,Open,On-Air,,,,39.7657,-105.366,Jefferson,CO,"Denver, Centennial Cone",441.7875,446.7875,,,,1,,,,,,,,,,,,,,,,,,,
73,8,KE4GUQ,Open,On-Air,,,,39.6333,-105.317,Jefferson,CO,Evergreen,144.74,145.34,,,,,,,103.5,127.3,,,,3350,,,,,,,,,,,
10932,8,N0SZ,Open,On-Air,,,,39.6333,-105.317,Clear Creek,CO,"Evergreen, Squaw Mountain",144.575,145.175,,,,7,310810,,,,,,,,,,,,,,,,,,
83,8,W0CRA,Open,On-Air,,,,39.17549896,-105.03399658,Douglas,CO,"Larkspur, Westcreek",147.825,147.225,,,,,,,107.2,107.2,,,347086,3990,,,,,,,,,,,
16547,8,W0CRA,Open,On-Air,,,,39.17549896,-105.03399658,Douglas,CO,"Larkspur, Westcreek",443.425,448.425,,,,,,,107.2,107.2,,,,,,,,,,,,,,,
15903,8,K0JSC,Open,On-Air,,,,39.17490005,-105.03399658,Douglas,CO,"Larkspur, Westcreek",444.975,449.975,,,,,,,100,100,,,,,,,,,,,,,,,
7193,8,N0ESQ,Open,On-Air,,,,39.26480103,-105.11399841,Douglas,CO,"Castle Rock, Devils Head",441.925,446.925,,,,8,310817,,,,,,,,,,,,,,,,,,
8190,8,N0ESQ,Open,On-Air,,,,39.26480103,-105.11399841,Douglas,CO,"Castle Rock, Devils Head (Pike National Forest)",442.525,447.525,,,,,,,146.2,146.2,,,,,,,,,,,,,,,
72,8,KB0VJJ,Open,On-Air,,,,39.8875,-105.426,Gilpin,CO,"Boulder, Thorodin Mountain",144.71,145.31,,,,,,,88.5,123,,,,,,,,,,,,,,,
97,8,N0SZ,Open,On-Air,,,,39.8875,-105.426,Gilpin,CO,"Denver, Thorodin Mountain",444.225,449.225,,,,,,,141.3,141.3,,,,,,,,,,,,,,,
119,8,N0FH,Open,On-Air,,,,40.36009979,-105.4509964,Larimer,CO,Estes Park,146.085,146.685,,,,,,,123,,,,625757,7268,,,,,,,,,,,
15670,8,KI0HG,Open,On-Air,,,,40.1727,-105.468,Boulder,CO,"Allenspark, AFPD Station #5",147.63,147.03,,,,,,,100,,,,,,,,,,,,,,,,
103,8,W0CRA,Open,Off-Air,,,,39.5211,-105.305,Jefferson,CO,"Conifer, Conifer Mountain",1267.9,1287.9,,,,,,,,,,,,,,,,,,,,,,,
18469,31,,Open,On-Air,,,,41.86660004,-103.66699982,Scotts Bluff,NE,Scottsbluff,147.975,147.375,,,,,,,123,,,,,,,,,,,,,,,,
15989,8,W0MOG,Open,On-Air,,,,38.90000153,-104.80000305,El Paso,CO,Colorado springs,223.12,224.72,,,,,,,103.5,103.5,,,,,,,,,,,,,,,
111,31,W0KAV,Open,On-Air,,,,41.88710022,-103.66400146,Scotts Bluff,NE,Scottsbluff,449.825,444.825,,,,,,,100,,,,,,,,,,,,,,,,
11355,31,AG0N,Open,On-Air,,,,41.90399933,-103.55799866,Scotts Bluff,NE,Scottsbluff,146.445,146.445,,,,,,,88.5,88.5,,,,3055,,,,,,,,,,,
9580,8,AC0KQ,Open,Off-Air,,,,39.7189,-105.44,Clear Creek,CO,"Evergreen, Saddleback Mountain",442.85,447.85,,,,,,,141.3,141.3,,,,,,,29571,,,,,,,,
59,8,N0ARA,Open,On-Air,,,,39.5148,-105.353,Jefferson,CO,"Critchell, Critchell Mountain",147.72,147.12,,,,,,,88.5,88.5,,,,,,,,,,,,,,,
3559,20,WA0VJR,Open,On-Air,,,,38.91389847,-101.59400177,Wallace,KS,Wallace,449.6,444.6,,,,,,,146.2,,,,,3148,,,,,,,,,,,
201,8,W0RM,Open,Other,,,,39.9172,-105.501,Gilpin,CO,Rollinsville,223,224.6,,,,,,,100,,,,,,,,,,,,,,,,
17813,8,N0WAR,Open,On-Air,,,,40.36059952,-105.51999664,Larimer,CO,"Estes Park, Prospect Mtn",147.84,147.24,,,,2,310853,,,,,,,,,,,,,,,,,,
42,8,AD0TP,Open,On-Air,,,,38.83969879,-104.7437973,El Paso,CO,Colorado Springs,146.25,146.85,,,,,,,156.7,103.5,,,,,,,,,,,,,,,
120,8,N0FH,Open,On-Air,,,,40.37720108,-105.52100372,Larimer,CO,Estes Park,444.8,449.8,,,,,,,123,,,,625757,7268,,,,,,,,,,,
8689,20,NV8Q,Open,Other,,,,39.40119934,-101.10099792,Thomas,KS,"Colby, K-Link",449.75,444.75,,,,,,,162.2,162.2,,,,,,,,,,,,,,,
8176,8,AA0L,Open,On-Air,,,,38.83969879,-104.80000305,El Paso,CO,Colorado Springs,147.735,147.135,,,,,,,100,,,,,,,,,,,,,,,,
8250,8,WR0AEN,Open,On-Air,,,,39.6732,-105.48,Clear Creek,CO,"Idaho Springs, Squaw Mountain",444,449,,,,,,,136.5,136.5,,,,,,,,,,,,,,,
15900,8,N0SZ,Open,On-Air,,,,39.15250015,-105.16400146,Douglas,CO,Westcreek,441.875,446.875,,,,6,310846,,,,,,,,,,,,,,,,,,
84,8,N0PYY,Open,On-Air,,,,39.6781,-105.487,Clear Creek,CO,"Evergreen, Squaw Mountain",147.9,147.3,,,,,,,103.5,103.5,,,,,,,,,,,,,,,
94,8,W0CFI,Open,On-Air,,,,39.6774,-105.488,Denver,CO,"Idaho Springs, Squaw Mountain",443.675,448.675,,,,,,,100,100,,,,,,,,,,,,,,,
95,8,WG0N,Open,On-Air,,,,39.7425,-105.514,Denver,CO,"Idaho Springs, Squaw Mountain",444.05,449.05,,,,,,,107.2,107.2,,,,,,,,,,,,,,,
78,8,KB0UDD,Open,On-Air,,,,39.6794,-105.492,Clear Creek,CO,"Idaho Springs, Squaw Mountain",146.07,146.67,,,,,,,100,100,,,,,,,,,,,,,,,
107,8,W0CRA,Open,On-Air,,,,39.6794,-105.492,Clear Creek,CO,"Idaho Springs, Squaw Mountain",144.545,145.145,,,,,,,107.2,107.2,,,,,,,,,,,,,,,
264,8,W0CRA,Open,On-Air,,,,39.6794,-105.492,Clear Creek,CO,"Idaho Springs, Squaw Mountain",442.575,447.575,,,,,,,107.2,107.2,,,347088,3291,,,,,,,,,,,
76,8,W0TX,Open,On-Air,,,,39.6794,-105.492,Jefferson,CO,"Idaho Springs, Centennial Cone",144.89,145.49,,,,,,,100,100,,,,,,,,,,,,,,,
98,8,W0TX,Open,On-Air,,,,39.6794,-105.492,Clear Creek,CO,"Idaho Springs, Squaw Mountain",444.35,449.35,,,,,,,100,100,,,4140,,,,,,,,,,,,
7190,8,N0SZ,Open,On-Air,,,,39.6798,-105.493,Clear Creek,CO,"Idaho Springs, Squaw Mountain",441.9375,446.9375,,,,7,,,,,,,,,,,,,,,,,,,
8197,8,N0SZ,Open,On-Air,,,,39.6797,-105.493,Clear Creek,CO,"Idaho Springs, Squaw Mountain",443.225,448.225,,,,,,,141.3,141.3,,,,,,,,,,,,,,,
81,8,W0WYX,Open,On-Air,,,,39.6798,-105.493,Clear Creek,CO,"Idaho Springs, Squaw Mountain",146.34,146.94,,,,,,,103.5,103.5,,,,,,,,,,,,,,,
46,8,,Open,On-Air,,,,38.83810043,-104.82099915,El Paso,CO,Colorado Springs,147.87,147.27,,,,,,,,,,,,,,,,,,,,,,,
43,8,K0IRP,Open,On-Air,,,,38.83810043,-104.82099915,El Paso,CO,Colorado Springs,146.31,146.91,,,,,,,151.4,151.4,,,,,,,,,,,,,,,
99,8,K1DUN,Open,On-Air,,,,39.6794,-105.493,Clear Creek,CO,"Idaho Springs, Squaw Mountain",444.45,449.45,,,,,,,103.5,127.3,,,,,,,,,,,,,,,
48,8,W0MOG,Open,On-Air,,,,38.83810043,-104.82099915,El Paso,CO,Colorado Springs,147.99,147.39,,,,,,,103.5,,,,,,,,,,,,,,,,
3889,20,NW0K,Open,On-Air,,,,39.3915,-101.074,Thomas,KS,Colby,146.22,146.82,,,,,,,156.7,156.7,,,,7552,,,,,,,,,,,
8211,8,,Closed,On-Air,,,,38.83390045,-104.82099915,El Paso,CO,Colorado Springs,444.575,449.575,,,,,,,,,,,,,,,,,,,,,,,
8200,8,AA0L,Open,On-Air,,,,38.83390045,-104.82099915,El Paso,CO,Colorado Springs,443.3,448.3,,,,,,,100,,,,,,,,,,,,,,,,
50,8,K0IRP,Open,On-Air,,,,38.83390045,-104.82099915,El Paso,CO,Colorado Springs,442.35,447.35,,,,,,,151.4,,,,,,,,,,,,,,,,
8182,8,KB0SRJ,Closed,Other,,,,38.83390045,-104.82099915,El Paso,CO,Colorado Springs,222.46,224.06,,,,,,,,,,,,,,,,,,,,,,,
49,8,KF0WF,Open,Off-Air,,,,38.83390045,-104.82099915,El Paso,CO,Colorado Springs,442.025,447.025,,,,,,,123,,,,,,,,,,,,,,,,
8198,8,N0KG,Open,Off-Air,,,,38.83390045,-104.82099915,El Paso,CO,"Colorado Springs, Broadmoor Area",443.25,448.25,,,,,,,123,,,,,,,,,,,,,,,,
51,8,NX0G,Open,On-Air,,,,38.83390045,-104.82099915,El Paso,CO,Colorado Springs,442.475,447.475,,,,,,,107.2,,,,,,,,,,,,,,,,
55,8,W0MOG,Open,Other,,,,38.83390045,-104.82099915,El Paso,CO,Colorado Springs,443.6,448.6,,,,,,,114.8,,,,,,,,,,,,,,,,
3537,8,W0MOG,Open,On-Air,,,,38.83390045,-104.82099915,Teller,CO,Colorado Springs,902.8,927.8,,,,,,,,,,,,,,,,,,,,,,116,
8191,8,WA6IFI,Open,On-Air,,,,38.83390045,-104.82099915,El Paso,CO,Colorado Springs,442.55,447.55,,,,,,,123,,,,,,,,,,,,,,,,
9503,8,KA4EPS,Open,On-Air,,,,38.9878006,-105.04399872,Teller,CO,"Woodland Park, Paradise Pines",444.325,449.325,,,,,,,103.5,103.5,,,,,,,27976,,,,,,,,
249,8,KA0WUC,Open,Other,,,,38.9939003,-105.05599976,Teller,CO,Woodland Park,144.815,145.415,,,,,,,179.9,,,,,,,,,,,,,,,,
252,8,KA0WUC,Open,Other,,,,38.9939003,-105.05599976,Teller,CO,Woodland Park,444.025,449.025,,,,,,,141.3,,,,,,,,,,,,,,,,
250,8,NX0G,Open,On-Air,,,,38.9939003,-105.05599976,Teller,CO,Woodland Park,146.22,146.82,,,,,,,107.2,,,,,,,,,,,,,,,,
251,8,NX0G,Open,On-Air,,,,38.9939003,-105.05599976,Teller,CO,Woodland Park,443.65,448.65,,,,,,,107.2,,,,,,,,,,,,,,,,
8193,8,KA0WUC,Open,On-Air,,,,38.9939003,-105.05699921,Teller,CO,Woodland Park,442.675,447.675,,,,,,,179.9,179.9,,,,,,,,,,,,,,,
3750,8,KA0WUC,Open,On-Air,,,,38.99380112,-105.05699921,Teller,CO,Woodland Park,902.9,927.9,,,,,,,,,,,,,,,,,,,,,,205,
11356,31,WD0BQM,Open,On-Air,,,,41.95100021,-103.80000305,Scotts Bluff,NE,Mitchell,445.1,445.1,,,,,,,100,100,,,,3942,,,,,,,,,,,
56,8,KA0TTF,Open,On-Air,,,,38.77999878,-104.84999847,El Paso,CO,"Colorado Springs, Fillmore Hill",443.725,448.725,,,,,,,123,,,,,,,,,,,,,,,,
7,8,AB0PC,Open,On-Air,,,,39.4056,-105.473,Park,CO,"Bailey, Dick Mountain",146.295,146.895,,,,,,,100,100,,,,,,,45835,,,,,,,,
37,8,KB0VJJ,Open,On-Air,,,,38.74520111,-104.86199951,El Paso,CO,"Colorado Springs, Cheyenne Mountain",144.53,145.13,,,,,,,88.5,123,,,,,,,,,,,,,,,
8087,8,KC0CVU,Open,Off-Air,,,,38.74509811,-104.86199951,El Paso,CO,"Colorado Springs, Cheyenne Mountain",441.9125,446.9125,,,,,,,,,,,,,,,,,,,,KC0CVU (B) Repeater,,,
7171,8,KC0CVU,Open,On-Air,,,,38.74499893,-104.86199951,Teller,CO,"Colorado Springs, Cheyenne Mountain",902.85,927.85,,,,,,,,,,,,,,,,,,,,,,114,
12355,8,N0SZ,Open,On-Air,,,,38.74509811,-104.86199951,El Paso,CO,"Colorado Springs, Cheyenne Mountain",440.0625,445.0625,,,,1,310857,,,,,,,,,,,,,,,,,,
8158,8,WA6IFI,Open,On-Air,,,,38.74499893,-104.86199951,El Paso,CO,"Colorado Springs, Cheyenne Mountain",51.43,53.13,,,,,,,107.2,107.2,,,,,,,,,,,,,,,
8088,8,KC0CVU,Open,Testing,,,,38.74449921,-104.86199951,El Paso,CO,"Colorado Springs, Cheyenne Mountain",144.785,145.385,,,,,,,,,,,,,,,,,,,,KC0CVU (C) Repeater,,,
47,8,KC0CVU,Open,On-Air,,,,38.73720169,-104.87999725,El Paso,CO,"Colorado Springs, Cheyenne Mountain",147.945,147.345,,,,,,,107.2,107.2,,,,3854,,,,,,,,,,,
38,8,W0CRA,Open,On-Air,,,,38.73720169,-104.87999725,El Paso,CO,"Colorado Springs, Cheyenne Mountain",144.56,145.16,,,,,,,107.2,107.2,,,347086,3990,,,,,,,,,,,
41,8,KC0CVU,Open,On-Air,,,,38.73720169,-104.8809967,El Paso,CO,"Colorado Springs, Cheyenne Mountain",146.16,146.76,,,,,,,107.2,107.2,,,,,,,,,,,,,,,
269,8,KC0CVU,Open,On-Air,,,,38.73720169,-104.8809967,El Paso,CO,"Colorado Springs, Cheyenne Mountain",443,448,,,,,,,107.2,,,,,,,,,,,,,,,,
53,8,KC0CVU,Open,On-Air,,,,38.73720169,-104.8809967,El Paso,CO,"Colorado Springs, Cheyenne Mountain",443.1,448.1,,,,,,,107.2,107.2,,,,,,,,,,,,,,,
44,8,KB0SRJ,Open,On-Air,,,,38.84000015,-105.04000092,El Paso,CO,"Colorado Springs, Pikes Peak",146.37,146.97,,,,,,,100,,,,,,,,,,,,,,,,
54,8,KB0SRJ,Open,On-Air,,,,38.84000015,-105.04000092,El Paso,CO,"Colorado Springs, Pikes Peak",443.45,448.45,,,,,,,100,,,,,,,,,,,,,,,,
17821,8,W1VAN,Open,On-Air,,,,40.80759811,-105.61699677,Larimer,CO,"Red Feather Lakes, Red Feather Lakes",442.6,447.6,,,,2,310869,,,,,,,,,,,,,,,,,,
10450,31,N2VHZ,Open,On-Air,,,,42.093,-102.87,Box Butte,NE,Alliance,147.615,147.015,,,,,,,,,,,775183,,,,,,,,,,,,
5220,8,K7PFJ,Open,On-Air,,,,38.77259827,-104.99299622,Teller,CO,"Colorado Springs, Almagre Mountain",441.95,446.95,,,,7,310816,,,,,,,,,,,,,,,,,,
8178,8,AA0SP,Private,On-Air,,,,38.77249908,-104.99299622,El Paso,CO,"Colorado Springs, Almagre Mountain",147.78,147.18,,,,,,,100,,,,,,,,,,,,,,,,
17250,8,N0SZ,Open,On-Air,,,,38.77199936,-104.99299622,El Paso,CO,"Colorado Springs, Almagre Mountain",144.635,145.235,,,,7,310824,,,,,,,,,,,,,,,,,,
39,8,KB0SRJ,Open,On-Air,,,,38.70000076,-104.90000153,El Paso,CO,"Colorado Springs, ~2 mi ENE USAFA North Gate",144.665,145.265,,,,,,,,,,,,,,,,,,Open ↑,Open ↓,,,,
15582,8,KB0VJJ,Open,On-Air,,,,39.8865,-105.763,Grand,CO,"Winter Park, Winter Park",147.885,147.285,,,,,,,88.5,123,,,,,,,,,,,,,,,
10034,31,N0NEB,Open,On-Air,,,,42.11700058,-102.87000275,Box Butte,NE,Alliance,146.115,146.715,,,,,,,103.5,103.5,,,,,,,,,,,,,,,
15122,31,N7UVW,Open,On-Air,,,,40.19670105,-100.625,Frontier,NE,McCook,449.5,444.5,,,,,,,151.4,,,,,,,,,,,,,,,,
15136,31,N7UVW,Open,On-Air,,,,40.1967,-100.625,Red Willow,NE,McCook,449.8,444.8,,,,,,,162.2,,,,,,,,,,,,,,,,
3756,8,WA4CCC,Open,On-Air,,,,39.9473,-105.795,Grand,CO,Winter Park,442.45,447.45,,,,,,,103.5,,,,,,,,,,,,,,,,
18131,8,WC3W,Open,On-Air,,,,40.2392,-105.847,Clear Creek,CO,Grand Lake,444.425,449.425,,,,,,,103.5,103.5,,,,,,,45202,,,,,,,,
8214,8,,Open,Other,,,,38.9797,-105.357,Park,CO,Lake George,444.7,449.7,,,,,,,107.2,,,,,,,,,,,,,,,,
15098,20,K0WPM,Open,On-Air,,,,38.46969986,-101.75299835,Greeley,KS,Tribune,447.175,442.175,,,,,,,156.7,,,,,,,,,,,,,,,,
17395,56,KD7JNQ,Open,Other,,,,42.0625,-104.18399811,Goshen,WY,Torrington,443.325,448.325,,,,,,,151.4,,,,,,,,,,,,,,,,
195,8,ND0Q,Open,Off-Air,,,,38.39250183,-104.55500031,Pueblo,CO,"Pueblo, Baculite Mesa",222.66,224.26,,,,,,,88.5,,,,,,,,,,,,,,,,
4,56,K7UWR,Open,Off-Air,,,,41.30979919,-105.45500183,Albany,WY,"Laramie, Pilot Hill",52.03,53.03,,,,,,,,,,,,,,,,,,,,,,,
66,8,WB0WDF,Open,On-Air,,,,38.7467,-105.178,Teller,CO,Cripple Creek,442.4,447.4,,,,,,,67,,,,,,,,,,,,,,,,
65,8,NX0G,Open,On-Air,,,,38.7466,-105.178,Teller,CO,Cripple Creek,147.615,147.015,,,,,,,107.2,,,,,,,,,,,,,,,,
64,8,WB0WDF,Open,On-Air,,,,38.7466011,-105.1780014,Teller,CO,Cripple Creek,144.86,145.46,,,,,,,67,,,,,,,,,,,,,,,,
7203,8,WB0WDF,Open,Testing,,,,38.7466,-105.178,Teller,CO,Cripple Creek,223.34,224.94,,,,,,,67,,,,,,,,,,,,,,,,
67,8,WB0WDF,Open,Testing,,,,38.7466,-105.178,Teller,CO,Cripple Creek,1267.7,1287.7,,,,,,,67,,,,,,,,,,,,,,,,
193,8,W0PHC,Open,On-Air,,,,38.36240005,-104.55999756,Pueblo,CO,"Pueblo, Baculite Mesa",146.19,146.79,,,,,,,88.5,,,,,,,,,,,,,,,,
198,8,W0PHC,Open,On-Air,,,,38.36240005,-104.55999756,Pueblo,CO,Pueblo,442.95,447.95,,,,0,,,88.5,,,,,,,,,,,,,,,,
3907,20,KB0DZB,Open,Off-Air,,,,39.8321991,-100.53399658,Decatur,KS,Oberlin,144.59,145.19,,,,,,,,,,,,,,,,,,,,,,,
15899,8,K7PFJ,Open,On-Air,,,,40.0861,-105.939,Clear Creek,CO,"Granby, Mt Chauncey",441.875,446.875,,,,,,,,,,,,,,,,,,,,,,,
145,8,KA0YDW,Open,Other,,,,40.0861,-105.939,Grand,CO,Granby,146.22,146.82,,,,,,,123,,,,,,,,,,,,,,,,
170,8,KC0CVU,Open,On-Air,,,,39.0489,-105.512,Park,CO,"Lake George, Badger Mountain",147.96,147.36,,,,,,,107.2,107.2,,,,3854,,,,,,,,,,,
169,8,NX0G,Open,On-Air,,,,39.04940033,-105.51300049,Park,CO,"Lake George, Badger Mountain",146.085,146.685,,,,,,,107.2,107.2,,,,,,,,,,,,,,,
18386,8,W0CTS,Open,On-Air,,,,38.12810135,-102.53199768,Prowers,CO,Lamar,444.2,449.2,,,,1,311409,,162.2,162.2,,,,,,,,,,,,,,,
11023,31,N0IQ,Open,On-Air,,,,41.1403,-100.76,Lincoln,NE,North Platte,147.93,147.33,,,,,,,123,,,,857936,7627,,,,,,,,,,,
11022,31,N0IQ,Open,On-Air,,,,41.14030075,-100.76000214,Lincoln,NE,North Platte,449.4,444.4,,,,,,,123,,,,857936,7627,,,,,,,,,,,
11026,31,N0UGO,Open,On-Air,,,,41.1403,-100.76,Lincoln,NE,North Platte,146.34,146.94,,,,,,,123,,,,751985,7349,,,,,,,,,,,
11024,31,N0UGO,Open,Off-Air,,,,41.1403,-100.76,Lincoln,NE,North Platte,447.25,442.25,,,,,,,123,,,,751985,7349,,,,,,,,,,,
171,8,N0LAR,Open,On-Air,,,,38.08720016,-102.62000275,Prowers,CO,Lamar,444.5,449.5,,,,,,,123,123,,,37784,3774,,,,,,,,,,,
9,56,KC7SNO,Open,On-Air,,,,41.31140137,-105.59100342,Albany,WY,"Laramie, Beacon Hill",146.22,146.82,,,,,,,114.8,,,,,,,,,,,,,,,,
8173,8,NE0Z,Private,On-Air,,,,38.30690002,-104.62000275,Pueblo,CO,"Pueblo, CSU",147.6,147,,,,,,,,,,,,,,,,,,,,,,,
167,8,KC0ITF,Private,On-Air,,,,37.99950027,-103.52899933,Otero,CO,"La Junta, North La Junta",147.96,147.36,,,,,,,,123,,,,,,,,,11360,Open ↑,Open ↓,,,,
3794,8,N0LAR,Open,On-Air,,,,38.03689957,-102.59999847,Prowers,CO,Lamar,146.01,146.61,,,,,,,123,123,,,37784,3774,,,,,,,,,,,
192,8,K0ST,Open,On-Air,,,,38.25439835,-104.60900116,Pueblo,CO,"Pueblo, Pueblo",146.055,146.655,,,,,,,123,,,,,,,,,,,,,,,,
8530,8,KF0KR,Private,Off-Air,,,,38.25439835,-104.60900116,Pueblo,CO,"Pueblo, Pueblo",442.7,447.7,,,,1,310805,,210.7,210.7,,,,7389,,,29228,,,,,,,,
189,8,N0PWZ,Open,On-Air,,,,38.25439835,-104.60900116,El Paso,CO,Palmer Divide,444.725,449.725,,,,,,,100,,,,,3043,,,,,,,,,,,
7994,8,K0JSC,Open,On-Air,,,,38.3030014,-104.73400116,Pueblo,CO,Pueblo West,443.975,448.975,,,,,,,100,100,,,363976,7301,,,28368,,,,,,,,
10785,8,K0JSC,Open,Off-Air,,,,38.23070145,-104.61100006,Pueblo,CO,Pueblo,441.9875,446.9875,,,,6,310821,,,,,,,,,,,,,,,,,,
9527,8,K0JSC,Open,On-Air,,,,38.23049927,-104.61100006,Pueblo,CO,"Pueblo, Metro",442.275,447.275,,,,,,,100,100,,,,,,,,,,,,,,,
3747,8,KJ0T,Open,Off-Air,,,,38.23059845,-104.61100006,Pueblo,CO,Pueblo,147.84,147.24,,,,,,,103.5,,,,,,,,,,,,,,,,
191,8,W0PHC,Open,On-Air,,,,38.2521019,-104.66200256,Pueblo,CO,Pueblo,144.515,145.115,,,,,,,88.5,,,,,,,,,,,,,,,,
24,8,KB0VJJ,Open,On-Air,,,,39.4439,-105.969,Summit,CO,"Breckenridge, Bald Mountain",147.99,147.39,,,,,,,88.5,123,,,,,,,,,,,,,,,
16780,8,N0SZ,Open,On-Air,,,,39.459,-105.979,Fremont,CO,"Breckenridge, Baldy",440.0875,445.0875,,,,7,310830,,,,,,,,,,,,,,,,,,
4100,20,K0ECT,Open,On-Air,,,,38.78499985,-100.92099762,Logan,KS,Elkader,449.3,444.3,,,,,,,141.3,141.3,,,,,,,,,,,,,,,
194,8,W0PHC,Open,On-Air,,,,38.20700073,-104.70700073,Pueblo,CO,"Pueblo, 12 Mile Hill",146.28,146.88,,,,0,,,88.5,,,,,,,,,,,,,,,,
23,8,WB0QMR,Open,On-Air,,,,39.4817,-106.038,Summit,CO,Breckenridge,146.1,146.7,,,,,,,107.2,,,,,3972,,,,,,,,,,,
4086,20,K0ECT,Open,On-Air,,,,38.17499924,-101.76100159,Hamilton,KS,Syracuse,449,444,,,,,,,141.3,141.3,,,,,,,,,,,,,,,
15436,56,N7UW,Open,On-Air,,,,41.09719849,-105.97699738,Albany,WY,"Laramie, Jelm Mountain",147.615,147.015,,,,,,,146.2,,,,82070,,,,,,,Open ↑,Open ↓,,,,
15538,56,AE7AF,Open,On-Air,,,,42.0544014,-104.95300293,Platte,WY,Wheatland,223.08,224.68,,,,,,,,,,,,,,,,,,,,,,,
16476,56,WA7SNU,Open,On-Air,,,,42.0544014,-104.95300293,Platte,WY,Wheatland,444.625,449.625,,,,,,,151.4,,,,,,,,,,,,,,,,
