Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,County,On-air,Sponsor,Features,Coordination,Last update,Op Status,EchoLink,IRLP,Notes,Nets,Coverage,Downlink Tone,Links,DMR Enabled,Color Code,DMR ID,Wide Network,Affiliate,Web links,Grid,Commands,IPSC Network,Talkgroups,Rocky Mountain Wide,Northern Colorado Regional,Bandwidth,YSF Digital Enabled,DG-ID,Local Network,D-STAR Enabled,Node,Sources,Central Regional,AllStar,Talkgroup Network,Worldwide English,North America,DCI Bridge,Local/Cluster,Colorado,N. Colorado,TAC 310,Mountain Reg USA,Mixed-Mode,WIRES-X,Worldwide,English,Feed,P-25 Digital Enabled,NAC,Default Reflector,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Wyoming,WyLOCAL,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Southern Colorado,Devilshead Local
146.955,-0.6,,N0JUN,Holyoke,CO,OPEN,,,27.98,S,,08,163,40.58440018,-102.30200195,146.955,146.355,,Phillips,Unknown,PCARC,E-power.,CCARC,2012-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,123,N0UGO,Ogallala,NE,OPEN,EI,,29.95,E,ON - In Conference IRLP 0082,31,11025,41.12820053,-101.72000122,146.76,146.16,123,Keith,,Charlie Allen,,,2015-07-09,On-Air,751985,7349,Linked to 146.940 in North Platte and 442.250 south of North Platte,Sun at 19:30. Wed at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.295,-0.6,100,WA0JTB,"Sterling, CO",CO,OPEN,,,55.32,WSW,,08,238,40.6256,-103.207,145.295,144.695,,Logan,,NECARA,"Autopatch, e-power.",CCARC,2018-07-10,On-Air,,,,,Wide area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.4,-0.6,88.5,KB0VJJ,Akron,CO,OPEN,,,75.87,SW,,08,2,40.16059875,-103.21399689,145.4,144.8,88.5,Washington,,Colorado Connection,,CCARC,2018-11-02,On-Air,,,Part of the Colorado Connection system of repeaters,Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (all welcome): Thu at 20:00. Statewide ARES: Sun at 20:00.,Northeastern plains of Colorado.,123,Full-time to the Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.175,-5,CC,W0FT,Akron,CO,OPEN,,D,75.88,SW,,08,16784,40.1605,-103.214,448.175,443.175,,Morgan,,W0FT,,CCARC,2018-02-01,On-Air,,,,,,,,yes,7,310833,,Rocky Mountain Ham Radio,http://www.rmham.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.835,-0.6,CSQ,K0KDC,North Platte,NE,OPEN,,,78.66,ESE,,31,44,41.1239,-100.765,146.835,146.235,CSQ,Lincoln,,K0KDC,,,2019-05-05,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,,NE0NP,North Platte,NE,OPEN,,,78.66,ESE,,31,43,41.12390137,-100.76499939,146.7,146.1,,Lincoln,,North Platte Progressive Amateur Radio Club,E-power.,,2018-10-14,Off-Air,,,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,123,N0IQ,North Platte,NE,OPEN,EI,,79.05,ESE,Node Offline,31,11023,41.1403,-100.76,147.33,147.93,123,Lincoln,,Randy Allen,,,2017-06-29,On-Air,857936,7627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.4,5,123,N0IQ,North Platte,NE,OPEN,EI,,79.05,ESE,Node Offline,31,11022,41.14030075,-100.76000214,444.4,449.4,123,Lincoln,,Randy Allen,,,2014-05-04,On-Air,857936,7627,,,Maxwell to Sutherland across I-80.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.94,-0.6,123,N0UGO,North Platte,NE,OPEN,EI,,79.05,ESE,Node Offline,31,11026,41.1403,-100.76,146.94,146.34,123,Lincoln,,Charlie Allen,Linked to 146.760 in Ogallala and 442.250 south of North Platte,WB0CMC,2019-05-05,On-Air,751985,7349,,Sunday Night net: Sun at 20:30 Wednesday Night net: Wed at 21:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.25,5,123,N0UGO,North Platte,NE,OPEN,EI,,79.05,ESE,Node Offline,31,11024,41.1403,-100.76,442.25,447.25,123,Lincoln,,Charlie Allen,,,2018-10-14,Off-Air,751985,7349,Linked to 146.940 in North Platte and 146.760 in Ogallala.,Sunt at 20:30 Wed at 21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.015,0.6,,N2VHZ,Alliance,NE,OPEN,E,,82.52,NNW,Node Offline,31,10450,42.093,-102.87,147.015,147.615,,Box Butte,,N2VHZ,,,2018-01-14,On-Air,775183,,,,Local.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.715,-0.6,103.5,N0NEB,Alliance,NE,OPEN,,,84.05,NNW,,31,10034,42.11700058,-102.87000275,146.715,146.115,103.5,Box Butte,,TriCity,,,2018-01-14,On-Air,,,,,,103.5,,,,,,,,DN82NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,-0.6,103.5,N0NEB,Harrisburg,NE,OPEN,,,84.87,WNW,,31,58,41.49000168,-103.75499725,147,146.4,103.5,Banner,,Tri-City Radio Amateur Club,,,2017-09-07,On-Air,,,,,,,,,,,,,,DN81CL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.125,5,114.8,WB7GR,"Scottsbluff, Stage Hill",NE,OPEN,,,88.48,NW,,31,110,41.70100021,-103.68099976,444.125,449.125,114.8,Scotts Bluff,,SBCEMA,Linked to Albin (147.165) and Cheyenne (146.775),,2018-12-02,On-Air,,,,,Wide area,114.8,,,,,,,,DN81DQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.445,0,88.5,AG0N,Scottsbluff,NE,OPEN,I,,92.17,NW,,31,11355,41.90399933,-103.55799866,146.445,146.445,88.5,Scotts Bluff,,,,,2015-03-16,On-Air,,3055,This is a simplex IRLP node. 147.285 rptr is down. 3055 is directly accessed on 146.445 w/88.5 tone. Controlled access. Contact AG0N for access. 147.435/123PL Scottsbluff node 8930 available 24/7 no access code.,,,88.5,,,,,,,http://garymcduffie.com,,Access pre-fix = 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.375,0.6,123,,Scottsbluff,NE,OPEN,,,94.69,NW,,31,18469,41.86660004,-103.66699982,147.375,147.975,123,Scotts Bluff,,,,,2020-01-18,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.2,-5,CC,W0FT,"Fort Morgan, Fort Morgan EOC",CO,OPEN,,D,95.34,WSW,,08,10783,40.25030136,-103.80000305,448.2,443.2,,Morgan,,,Mixed Mode,CCARC,2019-11-27,On-Air,,,"See the website for more info on Time Slot, Talk Group and Color Code Programming.",,,,Full-time to the Colorado TRBO System .,yes,7,310812,,NEAHR,Rocky Mountain Ham Radio,,,RMHR c Record retrieved from radioid.net,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Northern Colorado Regional 2 721 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.825,5,100,W0KAV,Scottsbluff,NE,OPEN,,,95.48,NW,,31,111,41.88710022,-103.66400146,444.825,449.825,100,Scotts Bluff,,W0KAV/KW0R,"Autopatch, e-power.",,2020-01-05,On-Air,,,,,,,,,,,,,,DN81EV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.475,-0.6,CSQ,WD0BQM,Scottsbluff,NE,OPEN,,,95.48,NW,,31,57,41.8871,-103.664,145.475,144.875,CSQ,Scotts Bluff,,RWMC,e-power.,,2018-12-02,On-Air,,,,,,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.075,0.6,,N0NEB,Scottsbluff,NE,OPEN,,,97.59,NW,,31,59,41.9406,-103.656,147.075,147.675,,Scotts Bluff,,Tri-City Radio Amateur Club,,,2014-07-08,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.165,0.6,114.8,KC7SNO,Albin,WY,OPEN,,,99.85,WNW,,56,28,41.4178009,-104.09799957,147.165,147.765,114.8,Laramie,,Shy-Wy Amateur Radio Club,E-power.,WRCG,2017-01-04,On-Air,,,,,,,"Full-time to 147.10500 (KC7SNO) at Cheyenne, North Park, WY . Full-time to 146.77500 (KC7SNO) at Cheyenne, Denver Hill, WY .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,,K0TAJ,"McCook, 180' tower S. of McCook",NE,OPEN,,,101.55,SE,,31,39,40.2053,-100.626,147.27,147.87,,Red Willow,,McCook ARA,Fusion Repeater,,2017-12-26,On-Air,,,,Monday Nights at 7PM,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.5,5,151.4,N7UVW,McCook,NE,OPEN,,,101.92,SE,,31,15122,40.1967,-100.625,444.5,449.5,151.4,Frontier,,dirt,link comm rlc 1,,2017-12-26,On-Air,,,16,,20,,,,,,,Dirt Truckin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.8,5,162.2,N7UVW,McCook,NE,OPEN,,,101.92,SE,,31,15136,40.1967,-100.625,444.8,449.8,162.2,Red Willow,,N7UVW,Link Com RLC-1 Controller,,2017-12-26,On-Air,,,180,,50,,,,,,,Dirt Truckin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.1,0,100,WD0BQM,Mitchell,NE,OPEN,I,,103.68,NW,,31,11356,41.95100021,-103.80000305,445.1,445.1,100,Scotts Bluff,,,,,2014-04-17,On-Air,,3942,This is a simplex IRLP node.,,,100,,,,,,,,DN81CW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.895,-0.6,103.5,KE0AE,Stratton,CO,OPEN,E,,117.81,S,Node Offline,08,122,39.30329895,-102.60500336,146.895,146.295,103.5,Kit Carson,,Big Sandy ARC,,CCARC,2018-04-01,On-Air,830619,,,,,,,,,,,,,DM89QH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,,KB0DZB,Oberlin,KS,OPEN,,,121.1,SE,,20,3907,39.8321991,-100.53399658,145.19,144.59,,Decatur,,TRI-STATE.,Linked.,Kansas Repeater Council,2020-03-07,Off-Air,,,,,Local,,,,,,,,,DM99RT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.325,-5,151.4,KD7JNQ,Torrington,WY,OPEN,,,123.99,NW,,56,17395,42.0625,-104.18399811,448.325,443.325,151.4,Goshen,Unknown,,,,2018-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.73,-0.6,CSQ,KF7BR,Torrington,WY,OPEN,,,123.99,NW,,56,42,42.0625,-104.18399811,146.73,146.13,CSQ,Goshen,,,,,2019-02-20,On-Air,,,,,,,,,,,,,,DN72VB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.135,0.6,,W0SOK,Cozad,NE,OPEN,,,124.21,ESE,,31,30,40.724,-99.913,147.135,147.735,,Dawson,,Heartland Amateur Radio Association,E-power.,,2017-06-29,Off-Air,,,,Wed 2030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.75,5,162.2,NV8Q,"Colby, K-Link",KS,OPEN,,,125.67,SSE,,20,8689,39.40119934,-101.10099792,444.75,449.75,162.2,Thomas,Unknown,,Linked to K-Link Repeater Network E-power (batt) Allstar 46010,Kansas Repeater Council,2018-10-15,,,,"Repeater is intermittently off-air, and the Allstar node is down.",,Wide area. Click for coverage map. 50 mi radius.,162.2,,,,,,K-Link Repeater Network,K-Link Repeater Network,DM99KJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,CSQ,N0UVP,Gordon,NE,OPEN,,,125.7,N,,31,19,42.8069,-102.204,146.67,146.07,CSQ,Sheridan,,SHARC,E-power.,,2012-01-10,Off-Air,,,"Working on the transmitter, hope to be back on the air soon.",,,CSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,156.7,NW0K,Colby,KS,OPEN,I,,126.96,SSE,,20,3889,39.3915,-101.074,146.82,146.22,156.7,Thomas,,TARC,"Closed autopatch, e-power.",Kansas Repeater Council,2019-05-06,On-Air,,7552,,,Local,156.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,123,W0FLO,"Chadron, Nebraska National Forest",NE,OPEN,,,127.92,NNW,,31,12643,42.7289,-103.111,147.36,147.96,123,Dawes,,,,WB0CMC,2018-06-05,On-Air,,,,,"Chadron, Gordon, Alliance, Crawford, Pine Ridge.",123,,,,,,Pine Ridge Amateur Radio Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.3,-5,131.8,N7JJY,"Cheyenne, Chalk Bluffs",WY,OPEN,,Y,131.42,W,,56,34,41.0274,-104.784,449.3,444.3,,Laramie,,WU7G,,WRCG,2019-06-02,On-Air,,,,,"Laramie county wy, Northern Weld and Larimer County, CO",,,,,,,,,,,,,,,6.25,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.62,0,100,W0FLO,Chadron,NE,OPEN,I,,132.39,NNW,,31,11357,42.82649994,-102.98999786,145.62,145.62,100,Dawes,,Pine Ridge Amateur Radio Club - Ron Cashon -- 308 432-3322,Voice ID,,2020-01-19,On-Air,,3936,IRLP status down,,"Chadron, Gordon, Alliance, Crawford, Pine Ridge.",100,,,,,,,,DN82MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,123,N0VL,Lexington,NE,OPEN,,,132.52,ESE,,31,12983,40.78070068,-99.74210358,146.85,146.25,123,Dawson,,,,WB0CMC,2016-07-20,On-Air,,,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.3,0,CSQ,,Chadron,NE,OPEN,,,132.72,NNW,,31,17082,42.82939911,-103,446.3,446.3,CSQ,Dawes,,,,,2018-07-06,On-Air,,,Simplex link for the 147.360 in Chadron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.775,-0.6,114.8,KC7SNO,"Cheyenne, Denver Hill",WY,OPEN,,,133.45,W,,56,27,41.12390137,-104.81900024,146.775,146.175,114.8,Laramie,,Shy-Wy Amateur Radio Club,"E-power, WX.",WRCG,2017-01-04,On-Air,,,,Weather Net: Daily at 06:45. Shy-WY ARC: Sun at 07:00.,,,"Full-time to 147.16500 (KC7SNO) at Albin, WY .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.95,-5,CC,KC7DHF,"Cheyenne, Old airport control tower",WY,OPEN,,D,133.53,W,"Cheyenne DMR Repeater. Please use ONLY TG 315615(Cheyenne Local), TG 31563 (Wy Svr Wx), and TG 31562 (Wyoming TAC 2) on Time Slot 2 (TS2). TG 3156 (Wyoming), TG 31560 (SE Wyoming ) and TG 31561 (Wyoming TAC 1) are on TS1. ALL OTHER TG connections will be directed to Time Slot 1 (TS1). Example of ALL OTHERS is any calls that are to a TG outside of Wyoming. Under special situations such as emergencies or special events TS2 may be used for TGs outside of Wyoming but those will be after repeater Admin approval.",56,8991,41.15299988,-104.81800079,448.95,443.95,,Laramie,,,,WRCG,2019-12-12,On-Air,,,Brandmiester DMR only no analog.,,Local,,,yes,15,315615,BrandMeister,,,DN71OD,,Brandmeister c Record retrieved from radioid.net,,,,,,,Brandmeister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.235,-0.6,131.8,KB7SWR,Cheyenne,WY,OPEN,,,133.57,W,,56,19,41.13999939,-104.81999969,145.235,144.635,131.8,Laramie,,N7GT,,WRCG,2019-10-23,On-Air,,,25,,Local: Cheyenne.,,"Full-time to 448.15000 (KB7SWR) at Cheyenne, WY .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.105,0.6,91.5,KC7SNO,"Cheyenne, North Park",WY,OPEN,,,133.57,W,,56,26,41.13999939,-104.81999969,147.105,147.705,91.5,Laramie,,ShyWyArc,,WRCG,2019-02-15,On-Air,,,,,,91.5,,,,,,,,DN71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9,-5,100,N7JJY,Cheyenne,WY,OPEN,,,133.57,W,,56,15518,41.13999939,-104.81999969,449.9,444.9,100,Laramie,,N7JJY,,,2017-01-04,On-Air,,,To be used as a portable repeater for ARES/RACES or as needed for specific needs of the Amateur Community in Laramie County or other areas as needed. Repeater will be on when needed otherwise offline.,,From 5 miles to 25 miles,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,CC,WY7EOC,Cheyenne,WY,OPEN,,D,133.57,W,,56,10803,41.13999939,-104.81999969,449.975,444.975,,Laramie,,WY7EOC,,WRCG,2020-02-27,On-Air,,,See the website for TG/TS/CC programming info and link status/info,,,,,yes,11,315601,,Laramie County Emergency Management/WY7EOC,,,,WyDMR c Record retrieved from radioid.net,,,,,,,Wyoming DMR Project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,100,W0UPS,"Greeley, UNC",CO,OPEN,,,133.85,WSW,,08,156,40.40359879,-104.69999695,146.85,146.25,100,Weld,,Northern Colorado ARC,"E-power, WX.",CCARC,2017-05-08,On-Air,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.325,-5,136.5,WR0AEN,Greeley,CO,OPEN,,S,133.88,WSW,,08,8210,40.4233017,-104.70899963,449.325,444.325,,Weld,,Colorado Amateur Repeater Network (CARN),,CCARC,2012-11-12,On-Air,,,,,,,,,,,,,,,,,,,,,,,,yes,WR0AEN (B),jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.1375,-5,CC,KB0VGD,Greeley,CO,OPEN,,D,133.89,WSW,,08,18521,40.42331314,-104.70912933,445.1375,440.1375,,Weld,,,,,2020-02-17,On-Air,,,,,,,,yes,2,,,,,,,c Record retrieved from radioid.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.725,-5,127.3,K0OJ,"Greeley, UNC",CO,OPEN,,,134,WSW,,08,159,40.40370178,-104.70300293,449.725,444.725,127.3,Weld,,K0OJ,"Autopatch, WX.",CCARC,2019-10-04,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC,K0RTS,"Genoa, Limon",CO,OPEN,,D,134.99,SSW,,08,13581,39.27830124,-103.5,446.7375,441.7375,,Lincoln,,K0RTS KC0VJD,,CCARC,2019-11-27,On-Air,,,Colorado on TG700 Slot 1 Denver on TG720 Slot 2,,"I-70 H-40 H-287 Arriba, Genoa, Hugo, Limon 50 mile radius",,,yes,8,310829,,RMHam,,,,RMHAM c Record retrieved from radioid.net,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Central Regional 2 720 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,103.5,KE0AE,Genoa,CO,OPEN,A,,135.27,SSW,,08,128,39.26879883,-103.48799896,147.06,147.66,103.5,Lincoln,,BSARC,"APRS repeater / weather station, remote base, e-power (solar - completely off the electrical grid).",CCARC,2019-07-21,On-Air,,,,Big Sandy Net: Tues 19:00,"I-70, US-71, US-287, US-40, US-24",,,,,,,,http://www.bigsandyradio.com/,DM89GG,,,,,,,,,,,,,,42740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9375,-5,CC,K7PFJ,"Cheyenne, South",WY,OPEN,,D,136.46,W,,56,15672,41.06000137,-104.87999725,449.9375,444.9375,,Laramie,,,,WRCG,2020-02-04,Off-Air,,,,,,,Full-time to the Rocky Mountain Ham System .,yes,7,315603,,,https://www.rmham.org/wordpress/,DN71NB,,RMHR c Record retrieved from radioid.net,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Northern Colorado Regional 2 721 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",1,2,,,,RMHAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,0.6,100,KC0KWD,LaSalle,CO,OPEN,I,Y,137.56,WSW,,08,157,40.26119995,-104.70600128,147,147.6,,Weld,,Weld ARS,"Yaesu System Fusion, 20 Watts. Will be switching to DSQ on 1 Feb 2016.",CCARC,2019-05-06,On-Air,,3839,,Tuesday Night club net,,,,,,,,,,DN70PG,,,,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.475,-5,100,KC0KWD,Greeley,CO,OPEN,I,,137.56,WSW,,08,158,40.26119995,-104.70600128,448.475,443.475,100,Weld,,Weld Amateur Radio Society (WARS),,CCARC,2019-05-06,On-Air,,3839,,,,,,,,,,,http://www.warsco.org/,DN70PG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.25,-5,123,K0UPS,Cedar Point,CO,OPEN,EI,,138.14,SW,ON - IDLE,08,9583,39.37030029,-103.8010025,449.25,444.25,123,Elbert,,K0UPS Club c/o N1UPS,Full duplex node.,CCARC,2014-09-02,On-Air,3349,3349,"K0UPS Buster Brown Radio Club. North West of Limon, Colorado.",,"I-70 Limon, Co area.",123,,,,,,,,DM89CI,** [StarStar] Prefix for Echolink Node.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.865,-0.6,,KR0A,Broken Bow,NE,OPEN,,,139.32,E,,31,10,41.40179825,-99.6411972,146.865,146.265,,Custer,,KR0A,,,2013-12-13,Off-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,,KR0A,Broken Bow,NE,OPEN,,,139.32,E,,31,11,41.4018,-99.6412,147.06,147.66,,Custer,,KR0A,,,2017-05-21,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.745,-0.6,,KD0AN,Edison,NE,OPEN,E,,139.37,SE,ON - IDLE,31,12982,40.2771,-99.7767,146.745,146.145,,Furnas,,,,WB0CMC,2017-01-15,On-Air,882742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.2,-5,82.5,N6RFI,"Severance, Cactus Hill",CO,OPEN,,,141.06,W,,08,8188,40.58100128,-104.90599823,447.2,442.2,82.5,Weld,,N6RFI,,CCARC,2017-03-11,On-Air,,,,,,,,,,,,,,DN70NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.925,-5,114.8,K0EB,Hudson,CO,OPEN,EI,,141.71,WSW,Node Offline,08,8216,40.02019882,-104.64199829,449.925,444.925,114.8,Weld,,K0EB,,CCARC,2018-12-01,On-Air,448035,8035,,,,114.8,,,,,,K0UPS Club,,DN70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
